CV,Precision,Recall,F1_score,Accuracy,Mcc,Loss
1,0.08693181723356247,0.08693181723356247,0.08693177998065948,0.08666666597127914,-0.0956818237900734,310.29669189453125
2,0.8215277791023254,0.8215277791023254,0.8215276598930359,0.8102189898490906,0.7917823791503906,32.247432708740234
3,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8175675868988037,0.7900000214576721,22.07892417907715
4,0.025646552443504333,0.025646552443504333,0.02564651146531105,0.025477707386016846,-0.13674567639827728,29.849071502685547
5,0.8100961446762085,0.8100961446762085,0.8100960850715637,0.8156028389930725,0.7784455418586731,53.06351852416992
6,0.812127947807312,0.812127947807312,0.8121278882026672,0.8034188151359558,0.7808159589767456,60.653526306152344
7,0.862500011920929,0.862500011920929,0.8624998927116394,0.862500011920929,0.8395833969116211,61.085914611816406
8,0.06692256033420563,0.05178571492433548,0.058368586003780365,0.06338027864694595,-0.07735522091388702,3.9211795330047607
9,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8195488452911377,0.824999988079071,136.36666870117188
10,0.07678571343421936,0.07678571343421936,0.07678566873073578,0.07746478915214539,-0.07708333432674408,58.814762115478516
